cve_mun,year,area_ha,area_ha_se,expansion_rate_pct
99001,2015,1333.8,155.1,0.0
99001,2016,1383.4,77.5,3.72
99001,2017,1451.2,121.9,4.9
99001,2018,1712.0,93.9,17.97
99001,2019,2012.5,207.8,17.55
99001,2020,2392.6,247.9,18.89
99001,2021,3045.0,179.6,27.27
99001,2022,3458.3,288.0,13.57
99001,2023,3724.1,329.5,7.68
99001,2024,3687.3,252.8,-0.99
99001,2025,4043.7,449.1,9.67
99002,2015,1096.2,72.1,0.0
99002,2016,1160.7,85.5,5.89
99002,2017,1260.9,115.0,8.63
99002,2018,1482.5,98.0,17.58
99002,2019,1700.1,111.2,14.68
99002,2020,1901.2,104.5,11.83
99002,2021,2530.7,238.3,33.11
99002,2022,2906.3,191.9,14.84
99002,2023,2979.7,337.8,2.53
99002,2024,2979.2,328.2,-0.02
99002,2025,3032.1,166.6,1.78
99003,2015,966.6,79.9,0.0
99003,2016,997.4,100.8,3.18
99003,2017,1094.4,106.3,9.73
99003,2018,1386.1,164.8,26.65
99003,2019,1564.9,89.0,12.9
99003,2020,1808.3,141.4,15.56
99003,2021,2169.3,160.0,19.96
99003,2022,2367.5,261.2,9.14
99003,2023,2525.2,170.2,6.66
99003,2024,2618.1,165.8,3.68
99003,2025,2570.7,209.3,-1.81
99004,2015,1095.3,125.8,0.0
99004,2016,1145.6,125.3,4.59
99004,2017,1228.6,75.7,7.24
99004,2018,1508.6,126.7,22.79
99004,2019,1742.3,113.2,15.49
99004,2020,2126.8,166.0,22.07
99004,2021,2406.8,130.2,13.16
99004,2022,3275.0,250.6,36.07
99004,2023,3627.3,431.5,10.76
99004,2024,3896.6,267.2,7.43
99004,2025,3622.3,379.9,-7.04
99005,2015,482.0,43.8,0.0
99005,2016,523.0,44.6,8.5
99005,2017,569.1,62.4,8.82
99005,2018,636.4,38.8,11.82
99005,2019,709.1,83.1,11.43
99005,2020,774.0,43.0,9.16
99005,2021,837.5,52.8,8.19
99005,2022,1043.5,95.6,24.6
99005,2023,1060.2,103.1,1.61
99005,2024,1056.1,70.2,-0.39
99005,2025,1077.1,62.9,1.98
99006,2015,656.1,51.0,0.0
99006,2016,689.5,66.9,5.1
99006,2017,751.8,53.4,9.03
99006,2018,813.4,58.7,8.19
99006,2019,882.1,90.5,8.45
99006,2020,941.5,51.9,6.74
99006,2021,1025.8,84.2,8.95
99006,2022,1180.6,141.5,15.1
99006,2023,1238.7,148.3,4.92
99006,2024,1255.8,69.2,1.38
99006,2025,1244.7,80.8,-0.89
99007,2015,242.8,17.2,0.0
99007,2016,248.8,24.0,2.48
99007,2017,266.5,30.8,7.09
99007,2018,289.7,17.2,8.7
99007,2019,339.5,19.7,17.19
99007,2020,407.1,23.4,19.92
99007,2021,447.9,39.7,10.02
99007,2022,472.1,32.6,5.41
99007,2023,527.9,48.7,11.81
99007,2024,536.0,53.7,1.53
