transition,target_year,inegi_code,inegi_class,color,n_pixels,area_ha,pct_of_year
2017->2018,2018,40,Cropland,#F096FF,74042,2849.8,90.87
2017->2018,2018,30,Grassland,#FFFF4C,2000,77.0,2.45
2017->2018,2018,20,Shrubland,#FFBB22,0,0.0,0.0
2017->2018,2018,10,Tree cover,#006400,346,13.3,0.42
2017->2018,2018,11,Secondary tree,#3FA34D,887,34.1,1.09
2017->2018,2018,21,Secondary shrub,#D9A521,3904,150.3,4.79
2017->2018,2018,22,Secondary veg.,#A6BB4D,0,0.0,0.0
2017->2018,2018,60,Bare / sparse veg.,#B4B4B4,0,0.0,0.0
2017->2018,2018,50,Built-up,#FA0000,299,11.5,0.37
2017->2018,2018,80,Permanent water,#0064C8,6,0.2,0.01
2017->2018,2018,90,Wetland,#0096A0,0,0.0,0.0
2017->2018,2018,95,Mangrove,#00CF75,0,0.0,0.0
2017->2018,2018,99,Other,#888888,0,0.0,0.0
2018->2019,2019,40,Cropland,#F096FF,46193,1777.9,79.63
2018->2019,2019,30,Grassland,#FFFF4C,572,22.0,0.99
2018->2019,2019,20,Shrubland,#FFBB22,0,0.0,0.0
2018->2019,2019,10,Tree cover,#006400,1162,44.7,2.0
2018->2019,2019,11,Secondary tree,#3FA34D,2172,83.6,3.74
2018->2019,2019,21,Secondary shrub,#D9A521,7596,292.4,13.09
2018->2019,2019,22,Secondary veg.,#A6BB4D,0,0.0,0.0
2018->2019,2019,60,Bare / sparse veg.,#B4B4B4,0,0.0,0.0
2018->2019,2019,50,Built-up,#FA0000,228,8.8,0.39
2018->2019,2019,80,Permanent water,#0064C8,84,3.2,0.14
2018->2019,2019,90,Wetland,#0096A0,0,0.0,0.0
2018->2019,2019,95,Mangrove,#00CF75,0,0.0,0.0
2018->2019,2019,99,Other,#888888,0,0.0,0.0
2019->2020,2020,40,Cropland,#F096FF,25218,970.6,69.7
2019->2020,2020,30,Grassland,#FFFF4C,1308,50.3,3.62
2019->2020,2020,20,Shrubland,#FFBB22,0,0.0,0.0
2019->2020,2020,10,Tree cover,#006400,819,31.5,2.26
2019->2020,2020,11,Secondary tree,#3FA34D,1461,56.2,4.04
2019->2020,2020,21,Secondary shrub,#D9A521,7001,269.5,19.35
2019->2020,2020,22,Secondary veg.,#A6BB4D,0,0.0,0.0
2019->2020,2020,60,Bare / sparse veg.,#B4B4B4,0,0.0,0.0
2019->2020,2020,50,Built-up,#FA0000,215,8.3,0.59
2019->2020,2020,80,Permanent water,#0064C8,159,6.1,0.44
2019->2020,2020,90,Wetland,#0096A0,0,0.0,0.0
2019->2020,2020,95,Mangrove,#00CF75,0,0.0,0.0
2019->2020,2020,99,Other,#888888,0,0.0,0.0
2020->2021,2021,40,Cropland,#F096FF,46257,1780.4,86.01
2020->2021,2021,30,Grassland,#FFFF4C,1454,56.0,2.7
2020->2021,2021,20,Shrubland,#FFBB22,0,0.0,0.0
2020->2021,2021,10,Tree cover,#006400,709,27.3,1.32
2020->2021,2021,11,Secondary tree,#3FA34D,840,32.3,1.56
2020->2021,2021,21,Secondary shrub,#D9A521,4269,164.3,7.94
2020->2021,2021,22,Secondary veg.,#A6BB4D,0,0.0,0.0
2020->2021,2021,60,Bare / sparse veg.,#B4B4B4,0,0.0,0.0
2020->2021,2021,50,Built-up,#FA0000,187,7.2,0.35
2020->2021,2021,80,Permanent water,#0064C8,64,2.5,0.12
2020->2021,2021,90,Wetland,#0096A0,0,0.0,0.0
2020->2021,2021,95,Mangrove,#00CF75,0,0.0,0.0
2020->2021,2021,99,Other,#888888,0,0.0,0.0
2021->2022,2022,40,Cropland,#F096FF,62680,2412.5,78.01
2021->2022,2022,30,Grassland,#FFFF4C,508,19.6,0.63
2021->2022,2022,20,Shrubland,#FFBB22,0,0.0,0.0
2021->2022,2022,10,Tree cover,#006400,2908,111.9,3.62
2021->2022,2022,11,Secondary tree,#3FA34D,2881,110.9,3.59
2021->2022,2022,21,Secondary shrub,#D9A521,11106,427.5,13.82
2021->2022,2022,22,Secondary veg.,#A6BB4D,0,0.0,0.0
2021->2022,2022,60,Bare / sparse veg.,#B4B4B4,0,0.0,0.0
2021->2022,2022,50,Built-up,#FA0000,68,2.6,0.08
2021->2022,2022,80,Permanent water,#0064C8,195,7.5,0.24
2021->2022,2022,90,Wetland,#0096A0,0,0.0,0.0
2021->2022,2022,95,Mangrove,#00CF75,0,0.0,0.0
2021->2022,2022,99,Other,#888888,0,0.0,0.0
2022->2023,2023,40,Cropland,#F096FF,50143,1930.0,73.83
2022->2023,2023,30,Grassland,#FFFF4C,914,35.2,1.35
2022->2023,2023,20,Shrubland,#FFBB22,0,0.0,0.0
2022->2023,2023,10,Tree cover,#006400,3094,119.1,4.56
2022->2023,2023,11,Secondary tree,#3FA34D,2184,84.1,3.22
2022->2023,2023,21,Secondary shrub,#D9A521,11320,435.7,16.67
2022->2023,2023,22,Secondary veg.,#A6BB4D,0,0.0,0.0
2022->2023,2023,60,Bare / sparse veg.,#B4B4B4,0,0.0,0.0
2022->2023,2023,50,Built-up,#FA0000,100,3.8,0.15
2022->2023,2023,80,Permanent water,#0064C8,161,6.2,0.24
2022->2023,2023,90,Wetland,#0096A0,0,0.0,0.0
2022->2023,2023,95,Mangrove,#00CF75,0,0.0,0.0
2022->2023,2023,99,Other,#888888,0,0.0,0.0
2023->2024,2024,40,Cropland,#F096FF,164595,6335.1,81.33
2023->2024,2024,30,Grassland,#FFFF4C,7131,274.5,3.52
2023->2024,2024,20,Shrubland,#FFBB22,0,0.0,0.0
2023->2024,2024,10,Tree cover,#006400,4517,173.9,2.23
2023->2024,2024,11,Secondary tree,#3FA34D,5142,197.9,2.54
2023->2024,2024,21,Secondary shrub,#D9A521,19842,763.7,9.8
2023->2024,2024,22,Secondary veg.,#A6BB4D,0,0.0,0.0
2023->2024,2024,60,Bare / sparse veg.,#B4B4B4,0,0.0,0.0
2023->2024,2024,50,Built-up,#FA0000,682,26.2,0.34
2023->2024,2024,80,Permanent water,#0064C8,468,18.0,0.23
2023->2024,2024,90,Wetland,#0096A0,0,0.0,0.0
2023->2024,2024,95,Mangrove,#00CF75,0,0.0,0.0
2023->2024,2024,99,Other,#888888,0,0.0,0.0
2024->2025,2025,40,Cropland,#F096FF,156752,6033.2,62.93
2024->2025,2025,30,Grassland,#FFFF4C,3583,137.9,1.44
2024->2025,2025,20,Shrubland,#FFBB22,0,0.0,0.0
2024->2025,2025,10,Tree cover,#006400,14684,565.2,5.9
2024->2025,2025,11,Secondary tree,#3FA34D,21186,815.4,8.51
2024->2025,2025,21,Secondary shrub,#D9A521,51200,1970.6,20.56
2024->2025,2025,22,Secondary veg.,#A6BB4D,0,0.0,0.0
