transition,target_year,wc_class,wc_name,wc_color,n_pixels,area_ha,pct_of_year
2017->2018,2018,10,Tree cover,#006400,5274,203.0,6.47
2017->2018,2018,20,Shrubland,#FFBB22,6044,232.6,7.42
2017->2018,2018,30,Grassland,#FFFF4C,16106,619.9,19.77
2017->2018,2018,40,Cropland,#F096FF,29911,1151.2,36.71
2017->2018,2018,50,Built-up,#FA0000,1080,41.6,1.33
2017->2018,2018,60,Bare / sparse veg.,#B4B4B4,23069,887.9,28.31
2017->2018,2018,70,Snow / ice,#F0F0F0,0,0.0,0.0
2017->2018,2018,80,Permanent water,#0064C8,0,0.0,0.0
2017->2018,2018,90,Herbaceous wetland,#0096A0,0,0.0,0.0
2017->2018,2018,95,Mangroves,#00CF75,0,0.0,0.0
2017->2018,2018,100,Moss and lichen,#FAE6A0,0,0.0,0.0
2018->2019,2019,10,Tree cover,#006400,15413,593.2,26.57
2018->2019,2019,20,Shrubland,#FFBB22,4466,171.9,7.7
2018->2019,2019,30,Grassland,#FFFF4C,7459,287.1,12.86
2018->2019,2019,40,Cropland,#F096FF,12523,482.0,21.59
2018->2019,2019,50,Built-up,#FA0000,494,19.0,0.85
2018->2019,2019,60,Bare / sparse veg.,#B4B4B4,17646,679.2,30.42
2018->2019,2019,70,Snow / ice,#F0F0F0,0,0.0,0.0
2018->2019,2019,80,Permanent water,#0064C8,6,0.2,0.01
2018->2019,2019,90,Herbaceous wetland,#0096A0,0,0.0,0.0
2018->2019,2019,95,Mangroves,#00CF75,0,0.0,0.0
2018->2019,2019,100,Moss and lichen,#FAE6A0,0,0.0,0.0
2019->2020,2020,10,Tree cover,#006400,10290,396.1,28.44
2019->2020,2020,20,Shrubland,#FFBB22,4202,161.7,11.61
2019->2020,2020,30,Grassland,#FFFF4C,5822,224.1,16.09
2019->2020,2020,40,Cropland,#F096FF,7355,283.1,20.33
2019->2020,2020,50,Built-up,#FA0000,209,8.0,0.58
2019->2020,2020,60,Bare / sparse veg.,#B4B4B4,8303,319.6,22.95
2019->2020,2020,70,Snow / ice,#F0F0F0,0,0.0,0.0
2019->2020,2020,80,Permanent water,#0064C8,0,0.0,0.0
2019->2020,2020,90,Herbaceous wetland,#0096A0,0,0.0,0.0
2019->2020,2020,95,Mangroves,#00CF75,0,0.0,0.0
2019->2020,2020,100,Moss and lichen,#FAE6A0,0,0.0,0.0
2020->2021,2021,10,Tree cover,#006400,6560,252.5,12.2
2020->2021,2021,20,Shrubland,#FFBB22,4320,166.3,8.03
2020->2021,2021,30,Grassland,#FFFF4C,9936,382.4,18.48
2020->2021,2021,40,Cropland,#F096FF,16654,641.0,30.97
2020->2021,2021,50,Built-up,#FA0000,520,20.0,0.97
2020->2021,2021,60,Bare / sparse veg.,#B4B4B4,15789,607.7,29.36
2020->2021,2021,70,Snow / ice,#F0F0F0,0,0.0,0.0
2020->2021,2021,80,Permanent water,#0064C8,1,0.0,0.0
2020->2021,2021,90,Herbaceous wetland,#0096A0,0,0.0,0.0
2020->2021,2021,95,Mangroves,#00CF75,0,0.0,0.0
2020->2021,2021,100,Moss and lichen,#FAE6A0,0,0.0,0.0
2021->2022,2022,10,Tree cover,#006400,11867,456.7,14.77
2021->2022,2022,20,Shrubland,#FFBB22,5559,214.0,6.92
2021->2022,2022,30,Grassland,#FFFF4C,8890,342.2,11.06
2021->2022,2022,40,Cropland,#F096FF,19768,760.9,24.6
2021->2022,2022,50,Built-up,#FA0000,419,16.1,0.52
2021->2022,2022,60,Bare / sparse veg.,#B4B4B4,33841,1302.5,42.12
2021->2022,2022,70,Snow / ice,#F0F0F0,0,0.0,0.0
2021->2022,2022,80,Permanent water,#0064C8,2,0.1,0.0
2021->2022,2022,90,Herbaceous wetland,#0096A0,0,0.0,0.0
2021->2022,2022,95,Mangroves,#00CF75,0,0.0,0.0
2021->2022,2022,100,Moss and lichen,#FAE6A0,0,0.0,0.0
2022->2023,2023,10,Tree cover,#006400,5296,203.8,7.8
2022->2023,2023,20,Shrubland,#FFBB22,8247,317.4,12.14
2022->2023,2023,30,Grassland,#FFFF4C,12611,485.4,18.57
2022->2023,2023,40,Cropland,#F096FF,16923,651.4,24.92
2022->2023,2023,50,Built-up,#FA0000,422,16.2,0.62
2022->2023,2023,60,Bare / sparse veg.,#B4B4B4,24405,939.3,35.93
2022->2023,2023,70,Snow / ice,#F0F0F0,0,0.0,0.0
2022->2023,2023,80,Permanent water,#0064C8,12,0.5,0.02
2022->2023,2023,90,Herbaceous wetland,#0096A0,0,0.0,0.0
2022->2023,2023,95,Mangroves,#00CF75,0,0.0,0.0
2022->2023,2023,100,Moss and lichen,#FAE6A0,0,0.0,0.0
2023->2024,2024,10,Tree cover,#006400,12471,480.0,6.16
2023->2024,2024,20,Shrubland,#FFBB22,26418,1016.8,13.05
2023->2024,2024,30,Grassland,#FFFF4C,42785,1646.8,21.14
2023->2024,2024,40,Cropland,#F096FF,53278,2050.6,26.33
2023->2024,2024,50,Built-up,#FA0000,2014,77.5,1.0
2023->2024,2024,60,Bare / sparse veg.,#B4B4B4,65410,2517.6,32.32
2023->2024,2024,70,Snow / ice,#F0F0F0,0,0.0,0.0
2023->2024,2024,80,Permanent water,#0064C8,1,0.0,0.0
2023->2024,2024,90,Herbaceous wetland,#0096A0,0,0.0,0.0
2023->2024,2024,95,Mangroves,#00CF75,0,0.0,0.0
2023->2024,2024,100,Moss and lichen,#FAE6A0,0,0.0,0.0
2024->2025,2025,10,Tree cover,#006400,29227,1124.9,11.73
2024->2025,2025,20,Shrubland,#FFBB22,50831,1956.4,20.41
2024->2025,2025,30,Grassland,#FFFF4C,38252,1472.3,15.36
2024->2025,2025,40,Cropland,#F096FF,50303,1936.1,20.2
2024->2025,2025,50,Built-up,#FA0000,2228,85.8,0.89
2024->2025,2025,60,Bare / sparse veg.,#B4B4B4,78226,3010.8,31.41
2024->2025,2025,70,Snow / ice,#F0F0F0,0,0.0,0.0
2024->2025,2025,80,Permanent water,#0064C8,16,0.6,0.01
2024->2025,2025,90,Herbaceous wetland,#0096A0,0,0.0,0.0
2024->2025,2025,95,Mangroves,#00CF75,0,0.0,0.0
2024->2025,2025,100,Moss and lichen,#FAE6A0,0,0.0,0.0
