wc_class,wc_name,wc_color,persistent_pixels,new_agave_pixels,lost_agave_pixels,persistent_ha,new_agave_ha,lost_agave_ha,pct_of_new
60,Bare / sparse veg.,#B4B4B4,27035,131386,7189,1040.6,5056.9,276.7,32.82
40,Cropland,#F096FF,29699,90608,7062,1143.1,3487.4,271.8,22.63
20,Shrubland,#FFBB22,5627,71474,2192,216.6,2751.0,84.4,17.85
30,Grassland,#FFFF4C,19863,65935,5667,764.5,2537.8,218.1,16.47
10,Tree cover,#006400,2634,37625,3622,101.4,1448.2,139.4,9.4
50,Built-up,#FA0000,509,3277,306,19.6,126.1,11.8,0.82
80,Permanent water,#0064C8,1,17,17,0.0,0.7,0.7,0.0
70,Snow / ice,#F0F0F0,0,0,0,0.0,0.0,0.0,0.0
90,Herbaceous wetland,#0096A0,0,0,0,0.0,0.0,0.0,0.0
95,Mangroves,#00CF75,0,0,0,0.0,0.0,0.0,0.0
100,Moss and lichen,#FAE6A0,0,0,0,0.0,0.0,0.0,0.0
