distrito,cve_mun,municipio
yautepec,20008,Asunción Tlacolulita
yautepec,20064,Nejapa de Madero
yautepec,20074,Santa Catarina Quioquitani
yautepec,20122,San Bartolo Yautepec
yautepec,20125,San Carlos Yautepec
yautepec,20200,San Juan Juquila Mixes
yautepec,20204,San Juan Lajarcia
yautepec,20316,San Pedro Mártir Quiechapa
yautepec,20357,Santa Ana Tavela
yautepec,20361,Santa Catalina Quierí
yautepec,20410,Santa María Ecatepec
yautepec,20428,Santa María Quiegolani
tlacolula,20051,Magdalena Teitipac
tlacolula,20078,Rojas de Cuauhtémoc
tlacolula,20118,San Bartolomé Quialana
tlacolula,20131,San Dionisio Ocotepec
tlacolula,20145,San Francisco Lachigoló
tlacolula,20194,San Juan del Río
tlacolula,20197,San Juan Guelavía
tlacolula,20219,San Juan Teitipac
tlacolula,20226,San Lorenzo Albarradas
tlacolula,20233,San Lucas Quiaviní
tlacolula,20298,San Pablo Villa de Mitla
tlacolula,20325,San Pedro Quiatoni
tlacolula,20333,San Pedro Totolápam
tlacolula,20343,San Sebastián Abasolo
tlacolula,20349,San Sebastián Teitipac
tlacolula,20356,Santa Ana del Valle
tlacolula,20380,Santa Cruz Papalutla
tlacolula,20411,Santa María Guelacé
tlacolula,20449,Santa María Zoquitlán
tlacolula,20475,Santiago Matatlán
tlacolula,20506,Santo Domingo Albarradas
tlacolula,20546,Teotitlán del Valle
tlacolula,20550,San Jerónimo Tlacochahuaya
tlacolula,20551,Tlacolula de Matamoros
tlacolula,20560,Villa Díaz Ordaz
miahuatlan,20059,Miahuatlán de Porfirio Díaz
miahuatlan,20061,Monjas
miahuatlan,20095,San Andrés Paxtlán
miahuatlan,20126,San Cristóbal Amatlán
miahuatlan,20146,San Francisco Logueche
miahuatlan,20148,San Francisco Ozolotepec
miahuatlan,20154,San Ildefonso Amatlán
miahuatlan,20159,San Jerónimo Coatlán
miahuatlan,20167,San José del Peñasco
miahuatlan,20170,San José Lachiguiri
miahuatlan,20209,San Juan Mixtepec -Distrito 26-
miahuatlan,20211,San Juan Ozolotepec
miahuatlan,20235,San Luis Amatlán
miahuatlan,20236,San Marcial Ozolotepec
miahuatlan,20254,San Mateo Río Hondo
miahuatlan,20263,San Miguel Coatlán
miahuatlan,20279,San Miguel Suchixtepec
miahuatlan,20289,San Nicolás
miahuatlan,20291,San Pablo Coatlán
miahuatlan,20319,San Pedro Mixtepec -Distrito 26-
miahuatlan,20344,San Sebastián Coatlán
miahuatlan,20347,San Sebastián Río Hondo
miahuatlan,20351,San Simón Almolongas
miahuatlan,20353,Santa Ana
miahuatlan,20362,Santa Catarina Cuixtla
miahuatlan,20384,Santa Cruz Xitla
miahuatlan,20391,Santa Lucía Miahuatlán
miahuatlan,20424,Santa María Ozolotepec
miahuatlan,20495,Santiago Xanica
miahuatlan,20512,Santo Domingo Ozolotepec
miahuatlan,20533,Santo Tomás Tamazulapan
miahuatlan,20538,Sitio de Xitlapehua
